baseball bat,bay
jack o' lantern,jaah
jewelry box,jew
light switch,lie
magnifying glass,mah
nail clippers,nay
neckbrace,neh
paper airplane,pay
pocket knife,paw
record player,reh
rocking hose,raw
roller skates,row
rolling pin,row
satellite dish,ssaa
sewing machine,so
space shuttle,spay
staple remover,stay
street lamp,stree
teeter totter,tee
tennis racket,tee
tic tac toe,teeh
